TYPE DESCRIPTION KEY
Possession Possession-by-2.du.fem pss2df
Possession Possession-by-2.du.masc pss2dm
Possession Possession-by-2.pl pss2p
Possession Possession-by-2.pl.fem pss2pf
Possession Possession-by-2.pl.masc pss2pm
Possession Possession-by-2.sg pss2s
Possession Possession-by-2.sg.fem pss2sf
Possession Possession-by-2.sg.form pss2sform
Possession Possession-by-2.sg.infm pss2sinfm
Possession Possession-by-2.sg.masc pss2sm
Possession Possession-by-3.du pss3d
Possession Possession-by-3.du.fem pss3df
Possession Possession-by-3.du.masc pss3dm
Possession Possession-by-3.pl pss3p
Possession Possession-by-3.pl.fem pss3pf
Possession Possession-by-3.pl.masc pss3pm
Possession Possession-by-3.sg pss3s
Possession Possession-by-3.sg.fem pss3sf
Possession Possession-by-3.sg.masc pss3sm
Possession Possessed pssd
Switch-Reference SR-among-NPs-in-any-argument-position cn_r_rn
Switch-Reference DS ds
Switch-Reference DS-Adverbial dsadv
Switch-Reference Logophoric log
Switch-Reference Open-Reference or
Switch-Reference Sequential-Multiclausal-Aspect seqma
Switch-Reference Simultaneous-Multiclausal-Aspect simma
Switch-Reference SS ss
Switch-Reference SS-Adverbial ssadv
Tense Within-1-day 1day
Tense Future fut
Tense Hodiernal hod
Tense Immediate immed
Tense Present prs
Tense Past pst
Tense Recent rct
Tense Remote rmt
Valency Applicative appl
Valency Causative caus
Valency Ditransitive ditr
Valency Impersonal imprs
Valency Intransitive intr
Valency Reciprocal recp
Valency Reflexive refl
Valency Transitive tr
Voice Accompanier-Focus acfoc
Voice Active act
Voice Agent-Focus agfoc
Voice Antipassive antip
Voice Beneficiary-Focus bfoc
Voice Conveyed-Focus cfoc
Voice Direct dir
Voice Instrument-Focus ifoc
Voice Inverse inv
Voice Location-Focus lfoc
Voice Middle mid
Voice Passive pass
Voice Patient-Focus pfoc

